#==============================================================================
# DATASET #0
#==============================================================================
1 0
1.001 -3.77942e-06
1.002 -7.4899e-06
1.003 -1.11321e-05
1.004 -1.47068e-05
1.005 -1.82146e-05
1.006 -2.16562e-05
1.007 -2.50323e-05
1.008 -2.83436e-05
1.009 -3.15907e-05
1.01 -3.47742e-05
1.011 -3.78949e-05
1.012 -4.09534e-05
1.013 -4.39503e-05
1.014 -4.68863e-05
1.015 -4.97621e-05
1.016 -5.25782e-05
1.017 -5.53353e-05
1.018 -5.8034e-05
1.019 -6.06749e-05
1.02 -6.32587e-05
1.021 -6.5786e-05
1.022 -6.82573e-05
1.023 -7.06733e-05
1.024 -7.30347e-05
1.025 -7.53419e-05
1.026 -7.75955e-05
1.027 -7.97963e-05
1.028 -8.19447e-05
1.029 -8.40413e-05
1.03 -8.60867e-05
1.031 -8.80815e-05
1.032 -9.00263e-05
1.033 -9.19215e-05
1.034 -9.37678e-05
1.035 -9.55658e-05
1.036 -9.73159e-05
1.037 -9.90188e-05
1.038 -0.000100675
1.039 -0.000102285
1.04 -0.000103849
1.041 -0.000105368
1.042 -0.000106843
1.043 -0.000108273
1.044 -0.00010966
1.045 -0.000111004
1.046 -0.000112306
1.047 -0.000113565
1.048 -0.000114783
1.049 -0.00011596
1.05 -0.000117097
1.051 -0.000118193
1.052 -0.00011925
1.053 -0.000120268
1.054 -0.000121247
1.055 -0.000122189
1.056 -0.000123093
1.057 -0.000123959
1.058 -0.000124789
1.059 -0.000125583
1.06 -0.000126341
1.061 -0.000127064
1.062 -0.000127753
1.063 -0.000128406
1.064 -0.000129026
1.065 -0.000129613
1.066 -0.000130166
1.067 -0.000130687
1.068 -0.000131176
1.069 -0.000131634
1.07 -0.00013206
1.071 -0.000132455
1.072 -0.000132819
1.073 -0.000133154
1.074 -0.000133459
1.075 -0.000133735
1.076 -0.000133983
1.077 -0.000134202
1.078 -0.000134393
1.079 -0.000134556
1.08 -0.000134693
1.081 -0.000134802
1.082 -0.000134886
1.083 -0.000134943
1.084 -0.000134975
1.085 -0.000134981
1.086 -0.000134963
1.087 -0.000134921
1.088 -0.000134854
1.089 -0.000134763
1.09 -0.00013465
1.091 -0.000134513
1.092 -0.000134354
1.093 -0.000134172
1.094 -0.000133969
1.095 -0.000133744
1.096 -0.000133498
1.097 -0.000133231
1.098 -0.000132943
1.099 -0.000132635
1.1 -0.000132308
1.101 -0.000131961
1.102 -0.000131595
1.103 -0.00013121
1.104 -0.000130807
1.105 -0.000130385
1.106 -0.000129946
1.107 -0.000129489
1.108 -0.000129015
1.109 -0.000128524
1.11 -0.000128016
1.111 -0.000127492
1.112 -0.000126953
1.113 -0.000126397
1.114 -0.000125826
1.115 -0.00012524
1.116 -0.00012464
1.117 -0.000124024
1.118 -0.000123395
1.119 -0.000122752
1.12 -0.000122095
1.121 -0.000121424
1.122 -0.000120741
1.123 -0.000120045
1.124 -0.000119336
1.125 -0.000118616
1.126 -0.000117883
1.127 -0.000117138
1.128 -0.000116382
1.129 -0.000115615
1.13 -0.000114837
1.131 -0.000114048
1.132 -0.000113249
1.133 -0.00011244
1.134 -0.000111621
1.135 -0.000110792
1.136 -0.000109954
1.137 -0.000109107
1.138 -0.000108251
1.139 -0.000107386
1.14 -0.000106512
1.141 -0.000105631
1.142 -0.000104741
1.143 -0.000103844
1.144 -0.000102939
1.145 -0.000102027
1.146 -0.000101108
1.147 -0.000100182
1.148 -9.92497e-05
1.149 -9.83107e-05
1.15 -9.73655e-05
1.151 -9.64144e-05
1.152 -9.54575e-05
1.153 -9.4495e-05
1.154 -9.35272e-05
1.155 -9.25542e-05
1.156 -9.15763e-05
1.157 -9.05936e-05
1.158 -8.96064e-05
1.159 -8.86148e-05
1.16 -8.76191e-05
1.161 -8.66194e-05
1.162 -8.56159e-05
1.163 -8.46089e-05
1.164 -8.35984e-05
1.165 -8.25847e-05
1.166 -8.1568e-05
1.167 -8.05484e-05
1.168 -7.95262e-05
1.169 -7.85014e-05
1.17 -7.74743e-05
1.171 -7.64451e-05
1.172 -7.54139e-05
1.173 -7.43809e-05
1.174 -7.33462e-05
1.175 -7.231e-05
1.176 -7.12725e-05
1.177 -7.02339e-05
1.178 -6.91942e-05
1.179 -6.81537e-05
1.18 -6.71125e-05
1.181 -6.60708e-05
1.182 -6.50287e-05
1.183 -6.39864e-05
1.184 -6.2944e-05
1.185 -6.19016e-05
1.186 -6.08595e-05
1.187 -5.98177e-05
1.188 -5.87764e-05
1.189 -5.77358e-05
1.19 -5.66959e-05
1.191 -5.56569e-05
1.192 -5.4619e-05
1.193 -5.35822e-05
1.194 -5.25468e-05
1.195 -5.15128e-05
1.196 -5.04803e-05
1.197 -4.94496e-05
1.198 -4.84206e-05
1.199 -4.73937e-05
1.2 -4.63687e-05
1.201 -4.5346e-05
1.202 -4.43255e-05
1.203 -4.33075e-05
1.204 -4.2292e-05
1.205 -4.12792e-05
1.206 -4.02691e-05
1.207 -3.92619e-05
1.208 -3.82576e-05
1.209 -3.72565e-05
1.21 -3.62585e-05
1.211 -3.52639e-05
1.212 -3.42726e-05
1.213 -3.32848e-05
1.214 -3.23007e-05
1.215 -3.13202e-05
1.216 -3.03436e-05
1.217 -2.93708e-05
1.218 -2.84021e-05
1.219 -2.74374e-05
1.22 -2.64768e-05
1.221 -2.55206e-05
1.222 -2.45687e-05
1.223 -2.36212e-05
1.224 -2.26783e-05
1.225 -2.174e-05
1.226 -2.08063e-05
1.227 -1.98775e-05
1.228 -1.89535e-05
1.229 -1.80344e-05
1.23 -1.71203e-05
1.231 -1.62114e-05
1.232 -1.53076e-05
1.233 -1.4409e-05
1.234 -1.35157e-05
1.235 -1.26278e-05
1.236 -1.17454e-05
1.237 -1.08685e-05
1.238 -9.99718e-06
1.239 -9.13152e-06
1.24 -8.27157e-06
1.241 -7.4174e-06
1.242 -6.56908e-06
1.243 -5.72666e-06
1.244 -4.89021e-06
1.245 -4.05979e-06
1.246 -3.23544e-06
1.247 -2.41724e-06
1.248 -1.60523e-06
1.249 -7.99463e-07
1.25 0
1.251 7.93111e-07
1.252 1.57982e-06
1.253 2.36007e-06
1.254 3.13383e-06
1.255 3.90103e-06
1.256 4.66165e-06
1.257 5.41562e-06
1.258 6.16291e-06
1.259 6.90348e-06
1.26 7.63728e-06
1.261 8.36427e-06
1.262 9.08441e-06
1.263 9.79767e-06
1.264 1.0504e-05
1.265 1.12034e-05
1.266 1.18958e-05
1.267 1.25811e-05
1.268 1.32594e-05
1.269 1.39306e-05
1.27 1.45947e-05
1.271 1.52516e-05
1.272 1.59013e-05
1.273 1.65439e-05
1.274 1.71791e-05
1.275 1.78071e-05
1.276 1.84279e-05
1.277 1.90413e-05
1.278 1.96474e-05
1.279 2.02461e-05
1.28 2.08374e-05
1.281 2.14213e-05
1.282 2.19978e-05
1.283 2.25669e-05
1.284 2.31285e-05
1.285 2.36826e-05
1.286 2.42292e-05
1.287 2.47684e-05
1.288 2.53e-05
1.289 2.58241e-05
1.29 2.63406e-05
1.291 2.68496e-05
1.292 2.7351e-05
1.293 2.78448e-05
1.294 2.83311e-05
1.295 2.88097e-05
1.296 2.92808e-05
1.297 2.97442e-05
1.298 3.02e-05
1.299 3.06482e-05
1.3 3.10888e-05
1.301 3.15218e-05
1.302 3.19471e-05
1.303 3.23648e-05
1.304 3.27749e-05
1.305 3.31773e-05
1.306 3.35721e-05
1.307 3.39593e-05
1.308 3.43389e-05
1.309 3.47108e-05
1.31 3.50751e-05
1.311 3.54318e-05
1.312 3.57809e-05
1.313 3.61224e-05
1.314 3.64563e-05
1.315 3.67826e-05
1.316 3.71013e-05
1.317 3.74125e-05
1.318 3.77161e-05
1.319 3.80121e-05
1.32 3.83006e-05
1.321 3.85816e-05
1.322 3.8855e-05
1.323 3.91209e-05
1.324 3.93794e-05
1.325 3.96304e-05
1.326 3.98739e-05
1.327 4.01099e-05
1.328 4.03386e-05
1.329 4.05598e-05
1.33 4.07736e-05
1.331 4.09801e-05
1.332 4.11792e-05
1.333 4.13709e-05
1.334 4.15553e-05
1.335 4.17325e-05
1.336 4.19023e-05
1.337 4.20649e-05
1.338 4.22202e-05
1.339 4.23684e-05
1.34 4.25093e-05
1.341 4.26431e-05
1.342 4.27698e-05
1.343 4.28893e-05
1.344 4.30017e-05
1.345 4.31071e-05
1.346 4.32054e-05
1.347 4.32967e-05
1.348 4.33811e-05
1.349 4.34585e-05
1.35 4.35289e-05
1.351 4.35925e-05
1.352 4.36492e-05
1.353 4.3699e-05
1.354 4.37421e-05
1.355 4.37783e-05
1.356 4.38079e-05
1.357 4.38307e-05
1.358 4.38468e-05
1.359 4.38563e-05
1.36 4.38592e-05
1.361 4.38555e-05
1.362 4.38452e-05
1.363 4.38285e-05
1.364 4.38052e-05
1.365 4.37756e-05
1.366 4.37395e-05
1.367 4.36971e-05
1.368 4.36483e-05
1.369 4.35932e-05
1.37 4.35319e-05
1.371 4.34644e-05
1.372 4.33907e-05
1.373 4.33108e-05
1.374 4.32249e-05
1.375 4.31329e-05
1.376 4.30349e-05
1.377 4.29309e-05
1.378 4.28209e-05
1.379 4.27051e-05
1.38 4.25834e-05
1.381 4.24559e-05
1.382 4.23226e-05
1.383 4.21836e-05
1.384 4.20389e-05
1.385 4.18886e-05
1.386 4.17327e-05
1.387 4.15712e-05
1.388 4.14042e-05
1.389 4.12318e-05
1.39 4.10539e-05
1.391 4.08706e-05
1.392 4.06821e-05
1.393 4.04882e-05
1.394 4.02891e-05
1.395 4.00848e-05
1.396 3.98754e-05
1.397 3.96609e-05
1.398 3.94413e-05
1.399 3.92167e-05
1.4 3.89872e-05
1.401 3.87527e-05
1.402 3.85134e-05
1.403 3.82693e-05
1.404 3.80204e-05
1.405 3.77669e-05
1.406 3.75086e-05
1.407 3.72457e-05
1.408 3.69783e-05
1.409 3.67064e-05
1.41 3.643e-05
1.411 3.61492e-05
1.412 3.5864e-05
1.413 3.55745e-05
1.414 3.52808e-05
1.415 3.49828e-05
1.416 3.46807e-05
1.417 3.43745e-05
1.418 3.40642e-05
1.419 3.37499e-05
1.42 3.34317e-05
1.421 3.31096e-05
1.422 3.27836e-05
1.423 3.24539e-05
1.424 3.21203e-05
1.425 3.17832e-05
1.426 3.14423e-05
1.427 3.10979e-05
1.428 3.075e-05
1.429 3.03986e-05
1.43 3.00438e-05
1.431 2.96856e-05
1.432 2.93241e-05
1.433 2.89593e-05
1.434 2.85914e-05
1.435 2.82203e-05
1.436 2.78461e-05
1.437 2.74688e-05
1.438 2.70886e-05
1.439 2.67054e-05
1.44 2.63194e-05
1.441 2.59305e-05
1.442 2.55389e-05
1.443 2.51446e-05
1.444 2.47476e-05
1.445 2.4348e-05
1.446 2.39459e-05
1.447 2.35413e-05
1.448 2.31342e-05
1.449 2.27248e-05
1.45 2.2313e-05
1.451 2.1899e-05
1.452 2.14828e-05
1.453 2.10644e-05
1.454 2.06439e-05
1.455 2.02214e-05
1.456 1.97969e-05
1.457 1.93704e-05
1.458 1.89421e-05
1.459 1.8512e-05
1.46 1.80801e-05
1.461 1.76464e-05
1.462 1.72112e-05
1.463 1.67743e-05
1.464 1.63359e-05
1.465 1.5896e-05
1.466 1.54547e-05
1.467 1.5012e-05
1.468 1.45681e-05
1.469 1.41228e-05
1.47 1.36763e-05
1.471 1.32287e-05
1.472 1.27801e-05
1.473 1.23303e-05
1.474 1.18796e-05
1.475 1.1428e-05
1.476 1.09755e-05
1.477 1.05222e-05
1.478 1.00681e-05
1.479 9.61337e-06
1.48 9.15797e-06
1.481 8.70197e-06
1.482 8.24545e-06
1.483 7.78845e-06
1.484 7.33103e-06
1.485 6.87324e-06
1.486 6.41514e-06
1.487 5.95679e-06
1.488 5.49824e-06
1.489 5.03954e-06
1.49 4.58075e-06
1.491 4.12193e-06
1.492 3.66313e-06
1.493 3.2044e-06
1.494 2.7458e-06
1.495 2.28739e-06
1.496 1.82922e-06
1.497 1.37134e-06
1.498 9.13806e-07
1.499 4.56675e-07
1.5 0
1.501 -4.56165e-07
1.502 -9.11767e-07
1.503 -1.36675e-06
1.504 -1.82106e-06
1.505 -2.27465e-06
1.506 -2.72747e-06
1.507 -3.17945e-06
1.508 -3.63054e-06
1.509 -4.0807e-06
1.51 -4.52987e-06
1.511 -4.978e-06
1.512 -5.42503e-06
1.513 -5.87092e-06
1.514 -6.31561e-06
1.515 -6.75905e-06
1.516 -7.20118e-06
1.517 -7.64196e-06
1.518 -8.08133e-06
1.519 -8.51925e-06
1.52 -8.95565e-06
1.521 -9.3905e-06
1.522 -9.82374e-06
1.523 -1.02553e-05
1.524 -1.06852e-05
1.525 -1.11133e-05
1.526 -1.15396e-05
1.527 -1.1964e-05
1.528 -1.23865e-05
1.529 -1.28071e-05
1.53 -1.32256e-05
1.531 -1.36421e-05
1.532 -1.40565e-05
1.533 -1.44687e-05
1.534 -1.48788e-05
1.535 -1.52865e-05
1.536 -1.5692e-05
1.537 -1.60951e-05
1.538 -1.64959e-05
1.539 -1.68941e-05
1.54 -1.72899e-05
1.541 -1.76832e-05
1.542 -1.80739e-05
1.543 -1.84619e-05
1.544 -1.88473e-05
1.545 -1.92299e-05
1.546 -1.96098e-05
1.547 -1.99869e-05
1.548 -2.03611e-05
1.549 -2.07324e-05
1.55 -2.11008e-05
1.551 -2.14661e-05
1.552 -2.18285e-05
1.553 -2.21877e-05
1.554 -2.25439e-05
1.555 -2.28968e-05
1.556 -2.32466e-05
1.557 -2.35931e-05
1.558 -2.39363e-05
1.559 -2.42762e-05
1.56 -2.46127e-05
1.561 -2.49458e-05
1.562 -2.52755e-05
1.563 -2.56016e-05
1.564 -2.59242e-05
1.565 -2.62432e-05
1.566 -2.65586e-05
1.567 -2.68703e-05
1.568 -2.71783e-05
1.569 -2.74826e-05
1.57 -2.77831e-05
1.571 -2.80798e-05
1.572 -2.83726e-05
1.573 -2.86615e-05
1.574 -2.89466e-05
1.575 -2.92276e-05
1.576 -2.95046e-05
1.577 -2.97776e-05
1.578 -3.00465e-05
1.579 -3.03113e-05
1.58 -3.0572e-05
1.581 -3.08285e-05
1.582 -3.10807e-05
